Membership No  Date Joined  Active  
    99215      2016-9-11    yes   
    92004      2018-9-24    yes   
    66884      2015-7-9     no    
    85514      2020-7-18    yes   
    57562      2019-6-20    yes   
    11385      2019-6-12    yes   
    64279      2019-1-9     no    
    78893      2018-5-23    no    
    20615      2020-8-23    yes   
    22392      2016-7-3     yes   
    44695      2018-2-20    no    
    72121      2018-6-6     no    
    45631      2019-7-11    no    
    37450      2017-8-19    yes   
    24354      2018-11-17   no    
    88618      2018-7-25    no    
    55227      2016-9-14    yes   
    38935      2018-12-20   no    
    94118      2018-8-3     no    
    94317      2020-3-2     yes   
